// This file is used to define Footstep and impact sounds per texture surface
// Usage:
// <texturename> <material type>
//
// For the <texturename> field, the base/textures directory is assumed.  No need for extensions either.
//
// The material type is as follows
//
// sand
// snow
// metal_duct
// metal
// rock
// dirt
// grill
// organic
// squishy
// metal_hollow
// carpet
//
// Example:
// a2e5-15/a2e9_dia_plat_plain metal

//CHRISSSTRAHL
k-7_starbase/floortrim1 metal
k-7_starbase/floortrim1 metal
k-7_starbase/k7_cfloor metal
k-7_starbase/k7_base5 metal
k-7_starbase/k7doorbase metal
klingon/k_cfloor2 metal
klingon/k_wall1a metal
forever/base_cargo metal
forever/base_cargo2 metal
forever/fcargob2 metal
romulan_installation/rombird1 metal
romulan_installation/rfloor2 metal 
romulan_installation/rometrim7 metal
romulan_installation/romtrim26l2b metal
borg/met_base3a metal
borg/met_base3b metal
borg/met_light3 metal
training/met_pipe_seg metal
attrexian-station/aspanel11metal2 metal
attrexian-station/aspanel11metal1 metal
attrexian-colony/acmettrim2 metal
attrexian-station/aslight7pan metal
attrexian-station/aslight7 metal
attrexian-station/aspan6 metal
starfleet/sfbasemetal2 metal
starfleet/sfbasemetal4 metal

romulan_installation/rom-metal2-grate grill
drull_ruins1_interior/dfloor13hatch grill

starfleet/sfbase1 rock
starfleet/sfbase2 rock
starfleet/sfarock2 rock
starfleet/sfconbase1 rock
starfleet/sfconbase2b rock
training/co_wal_gcrete04 rock
romulan_installation/romrock1 rock
romulan_installation/r_base3 rock
attrexian-colony/actrock1_sm rock

training/di_te_ggravl00sm dirt

starfleet/bush1 organic
starfleet/sfgrass2 organic





attrexian-station/metal1	metal
attrexian-station/asmet2	metal
attrexian-station/aspanel2 grill
attrexian-station/aswall1  dirt
attrexian-station/asbase2  organic
attrexian-station/asbase1  squishy

// Drull Ruins 1


//drull_ruins1_exterior/sand 2 grnd 02 dirt
//drull_ruins1_exterior/sand 2 grnd 03 dirt
//drull_ruins1_exterior/sand 2 grnd 04 dirt
//drull_ruins1_exterior/sand 2 grnd 05 dirt
//drull_ruins1_exterior/sand 2 grnd 06 dirt
//drull_ruins1_exterior/sand 2 grnd 07 dirt
//drull_ruins1_exterior/sand 2 grnd 08 dirt
//drull_ruins1_exterior/sand 2 grnd 09 dirt
//drull_ruins1_exterior/sand 2 grnd 10 dirt
//drull_ruins1_exterior/sand 2 grnd 11 dirt
//drull_ruins1_exterior/sand 2 grnd 12 dirt
//drull_ruins1_exterior/sand 2 grnd 13 dirt
//drull_ruins1_exterior/sand 2 grnd 14 dirt
//drull_ruins1_exterior/sand 2 grnd 15 dirt
//drull_ruins1_exterior/sand 2 grnd 16 dirt
//drull_ruins1_exterior/sand 2 grnd 17 dirt
drull_ruins1_exterior/dbase1 rock
drull_ruins1_exterior/dbase2 rock
//drull_ruins1_exterior/sand path horz dirt
//drull_ruins1_exterior/sand path vert dirt
drull_ruins1_exterior/sand dirt
drull_ruins1_exterior/sand02 dirt
drull_ruins1_exterior/sand03 dirt
drull_ruins1_exterior/sand03trans dirt
drull_ruins1_exterior/sand04 dirt
drull_ruins1_exterior/rock101 rock
drull_ruins1_exterior/rock101trans rock
drull_ruins1_exterior/rock101trans2 rock
drull_ruins1_exterior/rock1a rock
drull_ruins1_exterior/rock1b rock
drull_ruins1_exterior/rock1c rock
drull_ruins1_exterior/rock1d rock
drull_ruins1_exterior/floor04 rock
drull_ruins1_exterior/floor05 rock
drull_ruins1_exterior/floor06 rock
drull_ruins1_exterior/dcrack1 rock
drull_ruins1_exterior/ddoor1 rock
drull_ruins1_exterior/ddoor2 rock
drull_ruins1_exterior/dfloor1 rock
drull_ruins1_exterior/dirt dirt
drull_ruins1_exterior/dmetal1 metal
drull_ruins1_exterior/dtile1 rock
drull_ruins1_exterior/dtile2 rock





a2e5-15/met_fl_plabfloor3 metal
a2e5-15/met_fl_plabfloor3_trm2 metal
a2e5-15/a2e9_dia_plat_plain metal

terrain/dirtroad_grass dirt

gen_amodel/metal/met_mask_vent3 grill


/////////////////////////////////////////
//
//  textures added by Pat 9-3-02
//
/////////////////////////////////////////

//          BORG

borg/bfloor1 metal
borg/bfloor1_met_trm metal
borg/bfloor2 metal
borg/met_bossfloor metal
borg/met_bossfloor1 metal
borg/met_bossfloor2 metal
borg/met_floor1 metal
borg/met_platform metal

borg/met_grate1 grill
borg/met_grate2 grill
borg/met_grate3 grill
borg/met_grate4 grill
borg/met_grate5 grill
borg/met_grate6 grill
borg/met_grate7 grill
borg/met_grate8 grill
borg/met_grate9 grill
borg/met_grate10 grill
borg/met_grate11 grill
borg/met_pipe3 grill


//          METAL

attrexian-colony/acduct1 metal
attrexian-colony/acduct2 metal
attrexian-colony/acduct3 metal
attrexian-colony/acduct4 metal
attrexian-colony/acfloor10 metal
attrexian-colony/acfloor2 metal
attrexian-colony/acfloor2b metal
attrexian-colony/acfloor2c metal
attrexian-colony/acfloor3 metal
attrexian-colony/acfloor8 metal
attrexian-colony/acfloor9 metal

attrexian-station/asfloor13 metal
attrexian-station/asfloor13b metal
attrexian-station/asfloor14 metal
attrexian-station/asfloor15 metal
attrexian-station/asfloor16 metal
attrexian-station/asfloor18 metal
attrexian-station/asfloor19 metal
attrexian-station/asfloor3 metal
